Lang;FR;EN;NL;ES;EP
Dial;Je me rappelle la première fois que j’ai pris la mer. C’est à ce moment que j’ai commencé ma carrière de médecin itinérante.;See if beautful.;;;
Dial;J’avais rejoins la guilde des marins en tant que marchande pour vendre des remèdes à travers le monde.;It is dangerous;;;
Dial;La mer était mon alliée. Et aujourd’hui, elle cherche ma mort.;It is the begining of a long journey.;;;
Dial;Melodyyy !!;;;;
Dial;Le vent devient fort et la mer devient houleuse.;;;;
Dial;Une tempête ?;;;;
Dial;Sûrement, mais je penses que celle-là est différente. Tu le sens toi aussi ?;;;;
Dial;Oui, je peux le sentir. On va accoster sur l’île la plus proche.;;;;
Dial;La barre me résiste ! Qu’est-ce qu’il se passe ?!;;;;
Dial;C’est quoi ces créatures ?!;;;;
Dial;Melody, cours vite chercher ton épée !;;;;
Dial;Oui !;;;;
