Lang;FR;EN;NL;ES;EP
Item;Pomme Verte;;;;
Des;Une pomme sure qui rend 25 points de vie.;;;;
Item;Pomme Jaune;;;;
Des;Une pomme croquante qui rend 50 points de vie.;;;;
Item;Pomme rouge;;;;
Des;Une pomme juteuse qui rend tous les points de vie.;;;;
Item;Carambole;;;;
Des;Un beau fruit étoilé qui rend toute la magie.;;;;
Item;Salade de fruits;;;;
Des;Un savoureux mélange de fruits qui rends tout vos points de vie et de magie.;;;;
Item;Carotte;;;;
Des;Un légume orange qui soigne les altérations d’états. (sauve le coma, évidemment);;;;
Item;Piment;;;;
Des;Un légume rouge qui vous sortira du Coma en cas de coups fatale.;;;;
