Lang;FR;EN;NL;ES;EP
Key;Clé;;;;
Des;Ouvre un verrou du donjon.;;;;
Key;Clé en Or;;;;
Des;Ouvre la grande porte du donjon.;;;;
Item;Dynamite;;;;
Des;Un explosif utile pour détruire des murs fissurés. Non, ne mangez pas ça !;;;;
Usable;Cristal Terne;;;;
Des;Une étrange pierre précieuse. Son éclat doit être ravive pour qu’elle recouvre ses pouvoirs.;;;;
Coll;Écaille d’Argent;;;;
Des;Des écailles de sirène appartenant à la sirène d’argent cachée quelque part en Méia;;;;
Coll;Poudre d’Étoile;;;;
Des;De la poussière de minerais rare utilisé en alchimie pour renforcer l’équipement.;;;;
Key;Orbe Rouge;;;;
Des;Une shpère cristaline en rubis. Sert à activer un mécanisme quelque part en Méïa;;;;
Key;Orbe Bleue;;;;
Des;Une shpère cristaline en saphir. Sert à activer un mécanisme quelque part en Méïa;;;;XXX
Key;Orbe Mauve;;;;
Des;Une shpère cristaline en améthyste. Sert à activer un mécanisme quelque part en Méïa;;;;
Key;Clef;;;;
Des;'’Clef’’ qui sert à ouvrir une très vielle porte.;;;;
Map;Carte du Monde;;;;
Des;Un parchemin des principales îles de Méïa. Ces cartes ont comme réputation d'être incomplètes.;;;;
Map;Grande Carte du Monde;;;;
Des;La grande carte de Méïa. C'est une des rare carte complète du monde.;;;;
